word,count
the,1261
to,816
and,665
"",579
of,539
his,524
he,493
was,395
in,381
had,346
a,340
that,321
it,258
as,241
with,240
not,192
would,181
for,176
at,174
she,172
Gregor,168
her,165
on,151
but,137
they,136
be,133
him,129
from,129
all,129
could,118
have,111
or,110
this,109
out,99
Gregor's,99
been,99
if,91
you,90
room,87
-,84
even,79
He,79
Project,79
there,78
into,78
any,78
by,77
so,77
sister,77
up,76
back,74
father,72
their,68
door,68
did,67
about,65
himself,64
were,64
no,63
The,63
when,62
more,61
mother,61
only,60
than,56
do,55
what,54
way,54
I,54
work,53
Gutenberg-tm,53
one,50
other,49
is,49
now,48
them,48
without,46
time,46
just,45
then,45
get,43
little,43
said,41
made,40
still,39
some,39
It,38
see,38
chief,37
much,37
which,37
go,36
where,36
first,35
after,34
like,34
very,34
an,34
head,33
while,33
down,32
But,31
who,31
over,31
how,30
quite,30
it.,29
came,29
open,29
against,28
him.,28
"it,",28
before,28
And,28
If,27
must,27
looked,27
soon,27
electronic,27
clerk,27
went,27
we,27
everything,26
His,26
are,26
let,26
wanted,26
two,25
left,25
make,25
three,25
come,25
being,25
She,24
your,24
something,24
used,23
seemed,23
under,23
family,23
able,23
thought,23
really,23
works,23
away,23
can,22
again,22
its,22
Gutenberg,22
things,22
room.,22
Samsa,22
They,22
got,21
set,21
parents,21
too,21
Mr.,21
gentlemen,21
"him,",21
because,20
body,20
terms,20
already,20
"room,",20
round,20
my,20
onto,20
never,20
almost,20
become,19
lay,19
look,19
This,19
think,19
always,18
turned,18
"though,",18
off,18
took,18
feel,18
around,18
through,18
straight,18
day,17
next,17
each,17
eyes,17
front,17
full,17
"father,",17
whole,17
slowly,17
began,17
bed,17
heard,17
good,17
might,17
also,17
living,17
often,16
"sister,",16
copyright,16
same,16
should,16
enough,16
"course,",16
use,16
long,16
better,16
found,16
right,16
although,16
side,16
asked,16
Grete,16
hand,15
say,15
these,15
may,15
longer,15
felt,15
nothing,15
"mother,",15
You,15
became,15
window,15
flat,15
taken,15
know,15
behind,15
I'm,14
put,14
new,14
table,14
hear,14
immediately,14
Foundation,14
sat,14
stood,14
probably,14
morning,14
women,14
anything,14
hands,14
pressed,14
once,14
help,14
opened,14
give,14
held,14
Archive,13
Literary,13
"Gregor,",13
food,13
me,13
certainly,13
move,13
"now,",13
herself,13
legs,13
evening,13
"then,",13
well,13
hardly,13
"all,",13
most,13
especially,13
"and,",13
called,13
few,12
chest,12
don't,12
tried,12
forth,12
pushed,12
money,12
take,12
towards,12
close,12
perhaps,12
doing,12
arms,12
every,12
her.,12
understand,12
"door,",12
keep,12
anyone,11
"himself,",11
face,11
saw,11
it's,11
So,11
remained,11
"there,",11
old,11
free,11
possible,11
want,11
furniture,11
clear,11
donations,11
voice,11
here,11
chair,11
until,11
state,11
home,11
business,11
ran,11
leave,10
no-one,10
will,10
